,cldCvrAvg,cldCvrMax,cldCvrMin,country,dewPtAvg,dewPtMax,dewPtMin,feelsLikeAvg,feelsLikeMax,feelsLikeMin,postal_code,precip,relHumAvg,relHumMax,relHumMin,sfcPresAvg,sfcPresMax,sfcPresMin,snowfall,spcHumAvg,spcHumMax,spcHumMin,tempAvg,tempMax,tempMin,timestamp,wetBulbAvg,wetBulbMax,wetBulbMin,windSpdAvg,windSpdMax,windSpdMin,predicted,zips
20,72.0,99.0,34.0,us,22.7,27.7,9.1,20.4,37.4,0.6,20816,0.14,81.8,97.4,63.8,1006.9,1009.0,1003.7,2.1,2.6,3.2,1.4,27.8,37.5,14.4,2014-01-21T00:00:00-05:00,26.1,33.6,13.2,7.6,12.1,1.7,0,71107
21,34.0,100.0,1.0,us,-1.1,4.6,-2.7,-0.7,6.3,-10.2,20816,0.0,56.4,71.0,45.0,1012.1,1015.3,1008.1,0.0,0.9,1.2,0.8,11.6,16.4,4.9,2014-01-22T00:00:00-05:00,9.7,13.6,3.8,9.2,12.0,4.0,0,71107
22,59.0,100.0,5.0,us,2.9,12.6,-1.1,8.4,18.3,-0.4,20816,0.0,57.0,73.2,41.1,1020.5,1027.1,1015.9,0.0,1.1,1.6,0.9,15.7,25.9,8.0,2014-01-23T00:00:00-05:00,13.4,22.2,6.9,6.1,12.6,0.2,0,71107
23,42.0,100.0,4.0,us,-1.3,1.0,-3.7,4.5,14.1,-4.3,20816,0.0,49.1,64.1,34.9,1025.9,1030.7,1017.3,0.0,0.9,1.0,0.8,14.8,21.8,7.0,2014-01-24T00:00:00-05:00,12.4,18.3,5.6,7.5,10.9,4.5,0,71107
24,82.0,98.0,50.0,us,5.8,16.0,-0.5,14.0,26.8,6.6,20816,0.0,45.0,50.2,40.8,1003.6,1015.6,994.5,0.0,1.3,2.0,0.9,24.1,32.5,17.9,2014-01-25T00:00:00-05:00,20.5,28.0,15.0,9.9,11.9,5.9,0,71107
0,64.0,100.0,5.0,us,8.8,17.8,3.6,19.5,28.2,12.3,20816,0.0,49.8,75.9,32.2,1006.8,1009.8,1001.6,0.0,1.4,2.1,1.1,25.7,33.0,17.7,2014-01-26T00:00:00-05:00,22.1,27.6,15.2,5.9,13.3,1.2,0,71107
1,79.0,100.0,20.0,us,16.6,31.0,2.0,26.5,42.3,9.7,20816,0.0,49.6,62.4,36.7,1006.7,1018.1,1000.9,0.0,2.2,3.7,1.0,33.8,47.6,21.5,2014-01-27T00:00:00-05:00,29.2,41.1,18.1,9.6,17.3,3.6,0,71107
2,87.0,100.0,49.0,us,-4.2,5.4,-7.6,6.8,15.9,-3.8,20816,0.01,42.7,70.4,34.4,1023.8,1027.6,1018.5,0.2,0.8,1.2,0.6,14.7,19.8,9.7,2014-01-28T00:00:00-05:00,12.1,16.7,7.7,6.1,12.8,1.3,0,71107
3,43.0,100.0,6.0,us,0.0,8.8,-7.2,10.1,21.7,1.1,20816,0.02,52.0,86.7,30.6,1021.6,1023.8,1019.2,0.6,1.0,1.4,0.7,16.0,23.0,10.4,2014-01-29T00:00:00-05:00,13.6,19.2,8.3,4.1,7.8,0.7,0,71107
4,17.0,100.0,1.0,us,3.5,10.1,-1.3,18.9,28.2,9.7,20816,0.0,48.2,71.7,30.0,1024.3,1027.7,1019.0,0.0,1.1,1.5,0.9,21.1,31.7,9.7,2014-01-30T00:00:00-05:00,17.9,26.6,8.5,2.3,4.7,0.3,0,71107
5,69.0,100.0,9.0,us,12.8,18.9,10.0,33.6,49.6,19.1,20816,0.0,42.8,59.2,21.5,1017.5,1020.3,1015.6,0.0,1.7,2.2,1.5,34.5,49.6,23.2,2014-01-31T00:00:00-05:00,29.2,40.6,20.4,1.8,3.6,0.2,0,71107
6,40.0,89.0,18.0,us,22.4,31.4,17.1,37.8,48.7,27.5,20816,0.0,54.2,70.7,31.6,1018.5,1022.6,1013.0,0.0,2.6,3.7,2.0,38.7,50.7,27.5,2014-02-01T00:00:00-05:00,33.5,41.8,25.0,2.5,5.5,0.2,0,71107
7,62.0,98.0,25.0,us,30.4,36.1,26.1,46.8,61.4,34.1,20816,0.0,54.5,73.1,35.2,1011.4,1014.1,1009.6,0.0,3.6,4.4,3.0,46.9,61.4,34.1,2014-02-02T00:00:00-05:00,40.4,50.0,31.4,1.4,2.8,0.3,0,71107
