,0,1,2,3,4
0,8,77,9,35,11857
1,8,77,9,35,11857
2,8,77,9,35,11857
3,8,77,9,35,11857
4,8,77,9,35,11857
5,8,77,9,35,11857
6,8,77,9,35,11857
7,8,77,9,35,11857
8,8,77,9,35,11857
9,8,77,9,35,11857
10,8,77,9,35,11857
11,8,77,9,35,11857
12,8,77,9,35,11857
13,8,77,9,35,11857
14,8,77,9,35,11857
15,8,77,9,35,11857
16,8,77,9,35,11857
17,8,77,9,35,11857
18,8,77,9,35,11857
19,8,77,9,35,11857
20,8,77,9,35,11857
21,8,77,9,35,11857
22,8,77,9,35,11857
23,8,77,9,35,11857
24,8,77,9,35,11857
25,8,77,9,35,11857
26,8,77,9,35,11857
27,8,77,9,35,11857
28,8,77,9,35,11857
29,8,77,9,35,11857
30,8,77,9,35,11857
31,8,77,9,35,11857
32,8,77,9,35,11857
33,8,77,9,35,11857
34,8,77,9,35,11857
35,8,77,9,35,11857
36,8,77,9,35,11857
37,8,77,9,35,11857
38,8,77,9,35,11857
39,8,77,9,35,11857
40,8,77,9,35,11857
41,8,77,9,35,11857
42,8,77,9,35,11857
43,8,77,9,35,11857
44,8,77,9,35,11857
45,8,77,9,35,11857
46,8,77,9,35,11857
47,8,77,9,35,11857
48,8,77,9,35,11857
49,8,77,9,35,11857
50,8,77,9,35,11857
51,8,77,9,35,11857
52,8,77,9,35,11857
53,8,77,9,35,11857
54,8,77,9,35,11857
55,8,77,9,35,11857
56,8,77,9,35,11857
57,8,77,9,35,11857
58,8,77,9,35,11857
59,8,77,9,35,11857
60,8,77,9,35,11857
61,8,77,9,35,11857
62,8,77,9,35,11857
63,8,77,9,35,11857
64,8,77,9,35,11857
65,8,77,9,35,11857
66,8,77,9,35,11857
67,8,77,9,35,11857
68,8,77,9,35,11857
69,8,77,9,35,11857
70,8,77,9,35,11857
71,8,77,9,35,11857
72,8,77,9,35,11857
73,8,77,9,35,11857
74,8,77,9,35,11857
75,8,77,9,35,11857
76,8,77,9,35,11857
77,8,77,9,35,11857
78,8,77,9,35,11857
79,8,77,9,35,11857
80,8,77,9,35,11857
81,8,77,9,35,11857
82,8,77,9,35,11857
83,8,77,9,35,11857
84,8,77,9,35,11857
85,8,77,9,35,11857
86,8,77,9,35,11857
87,8,77,9,35,11857
88,8,77,9,35,11857
89,8,77,9,35,11857
90,8,77,9,35,11857
91,8,77,9,35,11857
92,8,77,9,35,11857
93,8,77,9,35,11857
94,8,77,9,35,11857
95,8,77,9,35,11857
96,8,77,9,35,11857
97,8,77,9,35,11857
98,8,77,9,35,11857
99,8,77,9,35,11857
100,8,77,9,35,11857
101,8,77,9,35,11857
102,8,77,9,35,11857
103,8,77,9,35,11857
104,8,77,9,35,11857
105,8,77,9,35,11857
106,8,77,9,35,11857
107,8,77,9,35,11857
108,8,77,9,35,11857
109,8,77,9,35,11857
110,8,77,9,35,11857
111,8,77,9,35,11857
112,8,77,9,35,11857
113,8,77,9,35,11857
114,8,77,9,35,11857
115,8,77,9,35,11857
116,8,77,9,35,11857
117,8,77,9,35,11857
118,8,77,9,35,11857
119,8,77,9,35,11857
120,8,77,9,35,11857
121,8,77,9,35,11857
122,8,77,9,35,11857
123,8,77,9,35,11857
124,8,77,9,35,11857
125,8,77,9,35,11857
126,8,77,9,35,11857
127,8,77,9,35,11857
128,8,77,9,35,11857
129,8,77,9,35,11857
130,8,77,9,35,11857
131,8,77,9,35,11857
132,8,77,9,35,11857
133,8,77,9,35,11857
134,8,77,9,35,11857
135,8,77,9,35,11857
136,8,77,9,35,11857
137,8,77,9,35,11857
138,8,77,9,35,11857
139,8,77,9,35,11857
140,8,77,9,35,11857
141,8,77,9,35,11857
142,8,77,9,35,11857
143,8,77,9,35,11857
144,8,77,9,35,11857
145,8,77,9,35,11857
146,8,77,9,35,11857
147,8,77,9,35,11857
148,8,77,9,35,11857
149,8,77,9,35,11857
150,8,77,9,35,11857
151,8,77,9,35,11857
152,8,77,9,35,11857
153,8,77,9,35,11857
154,8,77,9,35,11857
155,8,77,9,35,11857
156,8,77,9,35,11857
157,8,77,9,35,11857
158,8,77,9,35,11857
159,8,77,9,35,11857
160,8,77,9,35,11857
161,8,77,9,35,11857
162,8,77,9,35,11857
163,8,77,9,35,11857
164,8,77,9,35,11857
165,8,77,9,35,11857
166,8,77,9,35,11857
167,8,77,9,35,11857
168,8,77,9,35,11857
169,8,77,9,35,11857
170,8,77,9,35,11857
171,8,77,9,35,11857
172,8,77,9,35,11857
173,8,77,9,35,11857
174,8,77,9,35,11857
175,8,77,9,35,11857
176,8,77,9,35,11857
177,8,77,9,35,11857
178,8,77,9,35,11857
179,8,77,9,35,11857
180,8,77,9,35,11857
181,8,77,9,35,11857
182,8,77,9,35,11857
