Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
30,Jimmy Butler,SG,25,CHI,62,2403,21.3,.583,.212,.501,5.1,11.1,8.2,14.5,2.4,1.0,7.9,21.8,,7.8,2.8,10.6,.212,,4.1,0.7,4.8,4.1
31,Nikola Vucevic,C,24,ORL,70,2401,21.9,.554,.004,.182,10.6,26.4,18.4,10.7,1.1,1.7,10.3,26.1,,4.5,2.4,6.8,.137,,0.8,-0.2,0.6,1.6
32,Andre Drummond,C,21,DET,78,2374,21.3,.501,.002,.379,18.3,30.1,24.0,3.6,1.6,4.7,9.8,22.0,,3.0,4.1,7.1,.143,,-1.4,1.0,-0.4,0.9
33,Klay Thompson,SG,24,GSW,74,2371,20.2,.584,.418,.200,1.2,9.3,5.4,14.6,1.7,1.8,9.6,27.4,,5.1,3.1,8.2,.166,,3.3,-0.9,2.4,2.7
34,Paul Millsap,PF,29,ATL,72,2362,20.2,.568,.233,.364,6.9,19.9,13.7,15.3,2.7,2.4,13.3,23.9,,4.1,4.2,8.3,.169,,1.7,2.5,4.2,3.7
35,Avery Bradley,SG,24,BOS,74,2347,11.3,.504,.347,.099,2.1,9.0,5.5,8.6,1.7,0.5,9.2,21.0,,0.3,1.9,2.2,.044,,-0.8,-1.0,-1.9,0.1
36,Elfrid Payton,PG,20,ORL,78,2345,13.8,.459,.059,.299,5.0,11.4,8.2,32.7,2.8,0.6,20.5,18.7,,0.0,2.0,2.0,.041,,-1.4,0.7,-0.7,0.8
37,Luol Deng,SF,29,MIA,70,2344,15.5,.564,.279,.318,5.2,13.2,9.2,9.9,1.4,0.8,11.0,19.7,,3.6,1.6,5.1,.105,,1.1,-0.7,0.4,1.5
38,Marcin Gortat,C,30,WAS,78,2337,17.8,.587,.004,.226,8.3,24.0,16.4,6.2,1.0,3.7,11.0,17.5,,3.9,4.0,7.9,.163,,-0.6,2.3,1.7,2.2
39,Wilson Chandler,SF,27,DEN,74,2334,12.7,.517,.416,.147,3.9,17.1,10.3,9.0,1.1,1.0,9.8,19.8,,1.6,1.6,3.2,.066,,0.2,-0.3,-0.1,1.1
40,Kyle Korver,SG,33,ATL,72,2332,14.6,.699,.746,.181,0.7,13.1,7.1,12.2,1.1,1.5,14.4,14.2,,4.7,2.3,7.1,.146,,3.0,0.3,3.3,3.1
41,Nicolas Batum,SF,26,POR,69,2331,13.3,.525,.513,.167,2.9,15.7,9.4,20.4,1.6,1.2,17.1,14.6,,2.3,3.1,5.4,.111,,0.7,2.5,3.2,3.1
42,Mario Chalmers,PG,28,MIA,78,2331,11.8,.523,.374,.398,1.3,9.1,5.3,21.0,2.7,0.4,18.3,18.9,,0.8,2.0,2.7,.057,,-0.5,-0.4,-0.9,0.7
43,Jeff Green,SF,28,TOT,74,2322,14.9,.539,.302,.300,2.9,12.4,7.6,8.6,1.1,1.1,8.4,21.9,,3.0,2.2,5.3,.109,,0.3,-0.9,-0.6,0.8
44,J.J. Redick,SG,30,LAC,75,2321,16.2,.624,.491,.219,1.1,6.8,4.0,9.1,0.8,0.2,8.5,20.9,,5.7,0.9,6.5,.135,,3.5,-2.7,0.8,1.7
45,Anthony Davis,PF,21,NOP,64,2313,30.7,.590,.011,.374,8.1,24.0,16.1,11.1,2.1,6.2,6.2,27.7,,9.3,3.9,13.1,.273,,4.1,2.8,6.9,5.2
46,Thaddeus Young,PF,26,TOT,72,2312,16.0,.512,.119,.200,5.6,13.4,9.4,12.7,2.6,0.8,9.8,21.4,,1.9,1.4,3.2,.067,,0.4,-0.3,0.1,1.2
